key	objective	scope	acceptance
IAM-004	Implement workload identity and service-role patterns for AWS resources.	Define service roles and workload-specific permissions; prevent unnecessary credential distribution; establish trust relationships for supported AWS services; and document reusable workload identity patterns.	Workloads use roles instead of embedded long-lived credentials where supported; trust policies are scoped; workload permissions are validated; unauthorized actions are denied; reusable examples are documented.
IAM-005	Implement IAM auditing and access-analysis controls.	Use applicable AWS identity-analysis and credential-reporting capabilities; identify excessive or unused access; document review procedures; produce evidence for permission evaluation; and integrate findings into remediation workflows.	IAM access can be reviewed systematically; excessive or unused permissions can be identified; findings have a documented remediation path; audit evidence is retained without exposing sensitive credentials.
IAM-006	Validate IAM failure scenarios and least-privilege enforcement.	Test permitted and denied actions across representative identities; validate role trust boundaries; intentionally exercise authorization failures; capture diagnostic evidence; and document troubleshooting methods for IAM access problems.	Expected authorized actions succeed; expected unauthorized actions are denied; failure evidence is captured; root-cause methods are documented; tests demonstrate that least-privilege boundaries operate as designed.
NET-001	Design the enterprise AWS network architecture and IP addressing strategy.	Define VPC boundaries; CIDR allocation; Availability Zone strategy; public and private subnet tiers; routing domains; connectivity requirements; DNS architecture; security boundaries; growth considerations; and architecture diagrams.	Network architecture is documented; CIDRs do not overlap within the planned topology; subnet tiers and trust boundaries are defined; multi-AZ design is represented; routing and connectivity requirements are traceable to implementation.
NET-002	Implement the foundational multi-AZ VPC and subnet architecture using Terraform.	Create the VPC; public and private subnet tiers across multiple Availability Zones; DNS settings; resource naming; tags; Terraform outputs; and reusable variables following repository IaC standards.	Terraform creates the intended VPC and subnet topology; resources span the planned Availability Zones; addressing matches the design; naming and tagging standards are applied; terraform fmt and validate pass; deployed resources are verified through AWS CLI.
NET-003	Implement internet connectivity, NAT, and controlled routing architecture.	Create and associate Internet Gateway resources; NAT architecture where required; public and private route tables; default routes; subnet associations; and resilient outbound-connectivity patterns appropriate for the lab.	Public routing reaches the Internet Gateway as designed; private routing uses the intended controlled egress path; route-table associations are verified; private workloads do not receive unintended direct inbound internet exposure; routing evidence is documented.
NET-004	Implement network security boundaries using security groups and network ACL strategy.	Define workload-specific security groups; ingress and egress requirements; least-access rules; security-group referencing patterns; NACL usage criteria; prohibited broad exposure; and validation methods.	Security groups implement documented traffic requirements; unnecessary broad ingress is absent; rule behavior is tested; security-group dependencies are documented; applicable IaC security validation passes.
NET-005	Implement private AWS service access using VPC endpoints.	Identify services that should avoid public-network traversal; implement applicable gateway or interface endpoints; configure endpoint security groups and policies; integrate DNS behavior; and document cost/security tradeoffs.	Selected service traffic uses the intended VPC endpoints; endpoint DNS and routing are validated; endpoint policies are scoped where applicable; unnecessary public dependency is reduced; implementation and cost considerations are documented.
NET-006	Implement enterprise DNS architecture with Route 53 and VPC DNS capabilities.	Define private DNS requirements; hosted-zone strategy where applicable; record-management patterns; resolver behavior; service-name resolution; naming standards; and troubleshooting procedures.	Required workloads resolve intended names; private DNS remains scoped appropriately; DNS configuration is reproducible; resolution is validated from representative workloads; troubleshooting commands and evidence are documented.
NET-007	Implement application ingress and load-balancing architecture.	Define the appropriate AWS load-balancing pattern; listeners; target groups; health checks; security-group relationships; DNS integration; TLS considerations; and multi-AZ traffic distribution for representative workloads.	Load-balanced workloads are reachable through the intended ingress path; unhealthy targets are detected; traffic is distributed across the designed targets or zones; direct backend exposure is minimized; ingress architecture and validation evidence are documented.
NET-008	Validate network connectivity, segmentation, failure scenarios, and troubleshooting procedures.	Test permitted and denied traffic paths; DNS resolution; routing; security-group behavior; endpoint connectivity; load-balancer health; and representative failure scenarios using AWS and Linux diagnostic tooling.	Expected connectivity succeeds; prohibited paths fail; failures can be isolated to DNS, route, security, endpoint, or workload layers; diagnostic evidence is captured; reusable network troubleshooting procedures are documented.
CMP-001	Design the enterprise EC2 compute architecture and operating model.	Define instance roles; subnet placement; operating-system strategy; instance sizing; AMI approach; administrative access; encryption; monitoring; patching; availability; tagging; and scaling requirements for representative workloads.	Compute architecture is documented; placement and trust boundaries are defined; administrative access avoids unnecessary public exposure; encryption and monitoring requirements are identified; implementation requirements trace to the architecture.
CMP-002	Implement reusable EC2 launch templates and Auto Scaling architecture.	Create launch templates using Infrastructure as Code; define instance metadata security; IAM instance profiles; encrypted storage; bootstrap behavior; Auto Scaling groups; health checks; multi-AZ placement; scaling policies; and tagging.	Instances launch reproducibly from IaC; IMDS security is configured appropriately; storage is encrypted; workloads span intended Availability Zones; Auto Scaling behavior is validated; unhealthy capacity can be replaced; Terraform validation passes.
CMP-003	Implement Systems Manager managed-instance operations for EC2 workloads.	Configure required IAM roles and agents; establish Systems Manager connectivity; use Session Manager where supported; define patching and inventory capabilities; reduce dependence on inbound SSH; and document operational procedures.	Managed instances register successfully; authorized administrators can use the intended management path; unnecessary inbound administrative exposure is reduced; inventory or patch-management capability is demonstrated; operational evidence is documented.
STO-001	Implement secure Amazon S3 architecture and data-protection controls.	Create S3 resources through IaC; enforce public-access protections; encryption; versioning; lifecycle behavior; ownership controls; least-privilege access; logging or monitoring where applicable; and representative data operations.	Buckets are not unintentionally public; encryption and versioning are enabled as designed; access policies are validated; lifecycle behavior is documented; authorized data operations succeed and unauthorized access is denied.
STO-002	Implement EBS encryption, snapshot, and lifecycle controls.	Define encrypted EBS volumes; KMS usage where appropriate; snapshot creation and retention; attachment patterns; deletion behavior; backup considerations; and operational procedures for restoring storage to representative compute workloads.	EBS storage is encrypted; snapshot operations are validated; restore or replacement workflow is demonstrated; retention/lifecycle requirements are documented; storage can be recovered without exposing sensitive material.
STO-003	Implement shared EFS storage architecture for multi-instance workloads.	Create EFS resources through IaC; configure mount targets across required Availability Zones; network security; encryption; access points where appropriate; lifecycle behavior; and representative client mounting.	Authorized workloads can mount shared storage; unauthorized network paths are restricted; encryption is enabled; multi-AZ mount-target design is verified; shared-file operations and operational procedures are documented.
DB-001	Design the managed database and data-services architecture.	Define relational and NoSQL workload requirements; service-selection criteria; subnet placement; availability; encryption; identity and credential strategy; connectivity; backup; monitoring; scaling; and failure-recovery expectations.	Database architecture documents service-selection rationale; network and security boundaries are defined; availability and recovery requirements are identified; credential handling avoids source-controlled secrets; implementation requirements trace to the design.
DB-002	Implement an encrypted highly available Amazon RDS deployment.	Provision RDS using IaC; use private database subnet placement; encryption; controlled security-group access; appropriate credential management; backup retention; Multi-AZ capability where applicable; monitoring; and secure parameter configuration.	Database deployment is reproducible; storage is encrypted; database is not unintentionally internet-accessible; connectivity is limited to authorized workloads; backup configuration is verified; availability and monitoring controls are documented.
DB-003	Implement a DynamoDB workload with security and operational controls.	Create a representative DynamoDB table using IaC; define keys and access patterns; encryption; least-privilege IAM access; capacity mode; point-in-time recovery where appropriate; monitoring; and representative read/write operations.	Authorized workload operations succeed; unauthorized access is denied; encryption and recovery controls are enabled as designed; data access patterns are demonstrated; capacity and operational considerations are documented.
DB-004	Validate database backup, restore, and failure-recovery procedures.	Exercise supported backup and restore workflows for representative managed databases; validate recovery steps; measure or document recovery expectations; test connectivity after recovery; and capture failure and troubleshooting evidence.	Backup artifacts are verified; a representative restore succeeds; restored data can be validated; application or administrative connectivity is re-established; recovery procedure and evidence are documented.
CON-001	Implement an ECR container registry with secure image-management controls.	Create ECR repositories through IaC; configure encryption; image scanning where supported; immutable or controlled tagging strategy; lifecycle policies; least-privilege push/pull permissions; and representative image publication.	Authorized identities can push and pull images; unauthorized access is denied; scanning behavior is demonstrated where supported; lifecycle and tagging controls are configured; repository configuration is reproducible.
CON-002	Deploy a representative containerized workload using Amazon ECS.	Define task and service architecture; container images; IAM task roles; networking; load balancing where applicable; logging; secrets handling; health checks; scaling considerations; and deployment automation using IaC.	ECS workload deploys successfully; tasks reach healthy state; intended ingress works; logs are available; secrets are not embedded in images or source; task permissions follow least privilege; deployment is reproducible.
K8S-001	Design the enterprise Amazon EKS and Kubernetes architecture.	Define cluster topology; control-plane considerations; worker-node strategy; VPC and subnet integration; identity; RBAC; namespaces; ingress; storage; observability; security; upgrades; multi-environment patterns; and air-gapped simulation considerations.	EKS architecture is documented; cluster and workload trust boundaries are defined; networking and identity models are specified; operational lifecycle requirements are identified; design supports later GitOps and security implementation.
K8S-002	Provision an Amazon EKS cluster and worker capacity using Infrastructure as Code.	Create the EKS control plane and required worker capacity using Terraform; configure IAM roles; subnet placement; security groups; encryption where applicable; cluster access; outputs; and repeatable kubeconfig acquisition without committing credentials.	Cluster provisions successfully; worker capacity joins the cluster; Kubernetes API access works through the approved identity path; nodes report Ready; Terraform validation passes; no kubeconfig credentials or secrets are committed.
K8S-003	Implement Kubernetes workload isolation, configuration, and access controls.	Create representative namespaces; ServiceAccounts; RBAC; ConfigMaps; Secrets handling patterns; resource requests and limits; security contexts; network-policy strategy where supported; and workload-specific permissions.	Workloads operate in intended namespaces; RBAC permits required actions and denies unauthorized actions; configuration is separated from images; secrets are handled through approved patterns; workload security settings are validated.
K8S-004	Implement Kubernetes application deployment, service discovery, and ingress.	Deploy a representative application using Deployments; Services; health probes; rolling-update strategy; ingress controller or AWS-integrated ingress pattern; DNS where applicable; TLS considerations; and reusable manifests or Helm packaging.	Application pods become healthy; service discovery works; ingress reaches the intended workload; failed health checks affect routing as expected; rollout behavior is demonstrated; deployment artifacts are version controlled.
K8S-005	Validate EKS operations, troubleshooting, scaling, and failure recovery.	Exercise kubectl-based diagnostics; pod and node failures; rollout history; logs and events; scaling; scheduling failures; networking issues; configuration failures; and representative cluster operational procedures.	Representative failures are reproduced safely; root causes can be identified using Kubernetes and AWS evidence; workloads recover or are restored as designed; scaling is demonstrated; troubleshooting and operational runbooks are documented.
SRV-001	Design the enterprise serverless and event-driven architecture.	Define representative Lambda workloads; API integration; event sources; asynchronous processing; identity; networking where required; secrets handling; observability; retries; failure handling; scalability; and service-selection criteria.	Serverless architecture is documented; service boundaries and event flows are defined; identity and security requirements are identified; failure-handling patterns are specified; implementation requirements trace to the design.
SRV-002	Implement a secure AWS Lambda workload using Infrastructure as Code.	Provision a representative Lambda function through IaC; configure runtime settings; IAM execution role; environment configuration; logging; encryption; secrets retrieval; timeout and memory settings; error handling; and least-privilege service access.	Function deploys reproducibly; authorized invocation succeeds; execution permissions are scoped; secrets are not embedded in code or source-controlled configuration; logs are available; failure behavior is validated.
SRV-003	Implement API Gateway integration for a serverless application.	Create an API Gateway endpoint integrated with the representative Lambda workload; configure routes; authorization strategy; validation; throttling considerations; logging; deployment stages; TLS; and controlled exposure.	API requests reach the intended backend; invalid or unauthorized requests are handled as designed; logging is available; exposure is limited to intended interfaces; deployment is reproducible through IaC.
SRV-004	Implement event-driven workflow and messaging integration.	Build a representative asynchronous workflow using appropriate AWS event, messaging, or orchestration services; configure producers and consumers; IAM permissions; retries; dead-letter handling; observability; and failure recovery.	Events are delivered to intended consumers; retries and failure handling are demonstrated; failed messages or executions can be investigated; permissions follow least privilege; event flow and recovery procedures are documented.
DEV-001	Establish the reusable Terraform architecture and Infrastructure as Code standards.	Define Terraform repository structure; provider configuration; modules; variables; outputs; state-management strategy; naming; tagging; version constraints; formatting; validation; documentation; and secure handling of configuration values.	Terraform standards are documented; reusable structure is implemented; formatting and validation pass; sensitive values are not committed; modules and environments have clear boundaries; infrastructure changes are reviewable through Git.
DEV-002	Implement secure remote Terraform state and state-locking architecture.	Design and implement an appropriate remote state backend; encryption; access control; state locking where supported; versioning or recovery; separation of environments; and procedures for state access and recovery.	State is stored outside developer workstations as designed; encryption and access controls are verified; concurrent modification is controlled where supported; recovery procedures are documented; sensitive state is not committed to Git.
DEV-003	Implement reusable Ansible configuration-management automation.	Create Ansible inventory and reusable roles or playbooks for representative host configuration; enforce idempotency; privilege handling; variable management; secrets strategy; validation; and documented execution procedures.	Automation configures intended hosts successfully; repeated execution does not introduce unintended changes; secrets are not committed; failures are actionable; playbooks or roles pass applicable validation; usage is documented.
DEV-004	Expand GitHub Actions CI validation for Infrastructure as Code and application artifacts.	Extend pull-request validation with appropriate Terraform, shell, YAML, Kubernetes, documentation, and security checks; use least-privilege workflow permissions; pin or control dependencies appropriately; and provide actionable failures.	Applicable pull requests automatically execute required checks; invalid artifacts cause nonzero failures; workflow permissions are minimized; validation results are visible to reviewers; local and CI validation are aligned where practical.
DEV-005	Implement automated security scanning within the DevSecOps pipeline.	Integrate appropriate secret detection; dependency or software-composition analysis; Infrastructure as Code scanning; container scanning; and other relevant static security checks into local or CI workflows.	Representative insecure changes are detected by applicable controls; findings are visible and actionable; false-positive handling is documented; security checks do not expose secrets; required security failures can block merge.
DEV-006	Implement Helm-based Kubernetes application packaging and release configuration.	Create a reusable Helm chart for the representative Kubernetes workload; define values; templates; environment-specific configuration; validation; security-sensitive defaults; upgrade behavior; and rollback procedures.	Chart renders and validates successfully; application can be installed or upgraded from the chart; configuration can vary without modifying templates; sensitive values are not embedded; rollback or recovery behavior is documented.
DEV-007	Implement Argo CD GitOps deployment and reconciliation for Kubernetes workloads.	Deploy or configure Argo CD for the lab; define Git as desired-state source; configure application synchronization; access controls; health and drift visibility; controlled synchronization behavior; and recovery procedures.	Argo CD observes the intended repository state; application synchronization succeeds; drift is detectable; unauthorized configuration changes are controlled; Git history provides deployment traceability; operational procedures are documented.
SEC-001	Design the enterprise AWS security and compliance architecture.	Define security domains; trust boundaries; identity controls; encryption; logging; detection; configuration governance; vulnerability management; network security; workload security; incident response; and representative compliance requirements.	Security architecture is documented; preventive and detective controls are mapped to major workloads; trust boundaries are identified; evidence requirements are defined; security implementation can be traced to architecture decisions.
SEC-002	Implement centralized encryption and AWS KMS key-management controls.	Create representative customer-managed KMS keys where justified; define key policies; administrative and usage permissions; rotation strategy; service integration; logging; and recovery considerations.	Authorized services and identities can use intended keys; unauthorized use is denied; key policies follow least privilege; encryption integrations are validated; key-management and recovery procedures are documented.
SEC-003	Implement secure secrets and parameter-management patterns.	Use appropriate AWS managed services for application secrets and configuration; define encryption; IAM access; retrieval patterns; rotation considerations; naming; auditing; and separation of sensitive from non-sensitive configuration.	Applications retrieve required values without source-controlled secrets; unauthorized identities are denied; encryption and auditability are verified; secret-handling patterns are reusable and documented.
SEC-004	Implement CloudTrail and AWS Config governance controls.	Configure representative account activity logging and configuration tracking; secure log destinations; retention; applicable configuration rules; monitoring; evidence collection; and procedures for investigating configuration changes.	Relevant API activity is recorded; configuration changes can be traced; log storage is protected; representative noncompliant configuration can be detected where implemented; investigation procedures are documented.
SEC-005	Implement GuardDuty and Security Hub threat-detection integration.	Enable and configure representative managed threat-detection and security-posture services; review findings; define severity handling; integrate evidence with incident workflows; and document remediation procedures.	Security findings can be retrieved and interpreted; representative findings have documented triage paths; severity and ownership are defined; remediation evidence can be retained; services are configured reproducibly where supported.
SEC-006	Implement vulnerability and security-hardening validation across workloads.	Define and execute security validation for compute, containers, Kubernetes, Infrastructure as Code, dependencies, exposed services, and configuration; document baselines; findings; remediation; exceptions; and revalidation.	Applicable workloads are assessed using documented controls; material findings are tracked and remediated or explicitly accepted; remediation is revalidated; security evidence excludes credentials and sensitive secrets.
SEC-007	Exercise a representative cloud security incident and document the response lifecycle.	Create a safe simulated security event; detect and investigate the event; collect relevant evidence; contain or remediate the condition; validate recovery; document timeline and root cause; and identify preventive improvements.	Simulated incident is detected and investigated; evidence supports the root-cause determination; containment and remediation are demonstrated; recovery is validated; lessons learned and preventive actions are documented.
OBS-001	Design the enterprise observability and operational monitoring architecture.	Define logging; metrics; alarms; dashboards; workload health; infrastructure health; retention; operational ownership; service-level indicators; troubleshooting evidence; and integration patterns across representative AWS and Kubernetes workloads.	Observability architecture is documented; critical telemetry sources are identified; operational signals map to representative failure conditions; retention and ownership expectations are defined; implementation requirements trace to the design.
OBS-002	Implement centralized CloudWatch logging, metrics, dashboards, and alarms.	Configure representative log groups; retention; metrics; dashboards; alarms; notification integration where appropriate; IAM permissions; and monitoring for compute, application, and infrastructure resources using reproducible configuration.	Representative logs and metrics are available; dashboards expose useful operational state; alarms trigger against defined conditions; retention is configured; access follows least privilege; monitoring configuration is reproducible where supported.
OBS-003	Implement AWS Systems Manager operational automation and runbook patterns.	Use appropriate Systems Manager capabilities for inventory; command execution; automation; patching; operational diagnostics; controlled administrative actions; logging; and reusable runbook procedures.	Managed resources can execute authorized operational workflows; administrative actions are auditable; representative automation succeeds; failure handling is documented; operational procedures reduce reliance on undocumented manual intervention.
OBS-004	Exercise observability-driven troubleshooting and operational incident response.	Create representative application, infrastructure, or connectivity failures; use logs, metrics, alarms, events, and system evidence to isolate root causes; remediate conditions; validate recovery; and document operational findings.	Representative failures are detected through observability signals; diagnostic evidence supports root-cause analysis; remediation restores expected service; recovery is validated; troubleshooting steps and lessons learned are documented.
DR-001	Design the enterprise backup, resilience, and disaster-recovery architecture.	Define workload criticality; backup scope; recovery point and recovery time objectives; Availability Zone and regional failure considerations; backup retention; encryption; restore testing; dependencies; operational ownership; and recovery sequencing.	DR architecture documents representative RPO and RTO targets; protected resources are identified; failure scenarios and recovery dependencies are defined; backup and restore requirements trace to workloads; recovery responsibilities are documented.
DR-002	Implement centralized AWS Backup policies for representative workloads.	Configure backup vaults; encryption; backup plans; resource assignments; retention; IAM permissions; tagging strategy; monitoring; and supported protection for representative AWS resources using Infrastructure as Code where practical.	Representative resources are protected by intended backup policies; backup jobs can be verified; vault access is controlled; retention is configured; backup configuration is reproducible; operational evidence is documented.
DR-003	Validate representative restore and recovery procedures.	Restore selected protected resources from backup or snapshots; validate recovered configuration and data; re-establish required connectivity; verify application functionality; record recovery duration; and document deviations from expected recovery objectives.	Representative restore completes successfully; recovered resources and data are validated; required service connectivity is restored; recovery evidence is retained; observed recovery behavior is compared with documented objectives.
DR-004	Exercise a disaster-recovery failure scenario and document recovery orchestration.	Simulate an appropriate service, Availability Zone, infrastructure, or workload failure; execute documented recovery steps; validate dependencies and sequencing; measure recovery behavior; and capture lessons learned and architecture improvements.	Failure scenario is executed safely; recovery procedures restore intended service; dependencies and sequencing are validated; recovery evidence is captured; identified gaps produce documented corrective actions.
FIN-001	Establish enterprise tagging, ownership, and cost-allocation standards.	Define mandatory and recommended tags; naming conventions; environment and ownership metadata; project and workload attribution; automation expectations; validation; and handling for resources that do not support standard tagging.	Tagging standard is documented; representative resources contain required metadata; ownership and environment can be identified; IaC applies tags consistently where supported; noncompliant resources can be identified.
FIN-002	Implement AWS budgets and cost-monitoring controls for the lab.	Configure representative budgets; cost thresholds; notification strategy; cost visibility; service-level review; anomaly-awareness considerations; and operational procedures for responding to unexpected spend.	Budget thresholds are defined; cost information can be reviewed; notification behavior is configured where appropriate; unexpected-spend response procedures are documented; no unnecessary paid resources are intentionally left unmanaged.
FIN-003	Analyze workload utilization and implement rightsizing recommendations.	Review representative compute, storage, database, container, and supporting service utilization; identify overprovisioning or inefficient patterns; document performance and availability tradeoffs; and implement safe optimization where justified.	Representative utilization data is reviewed; optimization opportunities are documented; changes preserve required reliability and security; implemented optimizations are validated; cost and engineering tradeoffs are recorded.
FIN-004	Implement lifecycle and cost-optimization controls across AWS resources.	Apply appropriate storage lifecycle; retention; log retention; snapshot cleanup; image lifecycle; nonproduction resource scheduling or teardown; and other safe cost controls while preserving required recovery and audit evidence.	Lifecycle controls are configured for applicable resources; unnecessary retention is reduced; required evidence and backups are preserved; optimization controls are reproducible; cleanup procedures include safeguards against destructive mistakes.
INT-001	Design the integrated enterprise application and infrastructure architecture.	Combine networking; identity; compute; storage; databases; containers; Kubernetes; serverless; security; observability; DevSecOps; and recovery components into a coherent reference architecture with documented dependencies and data flows.	Integrated architecture diagram and documentation exist; component dependencies and trust boundaries are visible; major data and control flows are defined; implementation can be traced to individual engineering work items.
INT-002	Deploy an end-to-end representative application across the enterprise cloud platform.	Integrate selected frontend, application, data, networking, identity, security, observability, and deployment components into a representative workload using automated infrastructure and deployment processes.	Application deploys through documented automation; intended users or clients can reach required interfaces; backend dependencies operate correctly; security and observability controls remain active; deployment evidence is documented.
INT-003	Validate cross-service security, connectivity, and operational dependencies.	Test representative identity paths; network flows; DNS; service-to-service access; data access; secrets retrieval; logging; monitoring; and failure behavior across integrated components.	Authorized cross-service interactions succeed; unauthorized interactions are denied; dependencies can be traced during troubleshooting; security boundaries remain effective; integration validation evidence is documented.
INT-004	Exercise an integrated failure scenario across multiple AWS platform components.	Introduce a safe multi-component failure or degradation; detect the condition; diagnose dependencies; execute remediation or recovery; validate restored service; and document root cause, timeline, and preventive improvements.	Failure is detected using implemented operational controls; cross-service root cause is identified; service is recovered; recovery is validated end to end; lessons learned produce actionable architecture or automation improvements.
PORT-001	Create the final enterprise AWS reference architecture documentation and diagrams.	Produce clear architecture documentation covering major AWS services; trust boundaries; network flows; identity; security controls; deployment paths; observability; backup and recovery; DevSecOps; and key design decisions.	Final architecture documentation accurately reflects the implemented lab; diagrams are readable and version controlled; major components and trust boundaries are represented; design decisions link to supporting implementation evidence.
PORT-002	Create portfolio-quality implementation evidence and engineering demonstrations.	Organize representative commands; validation results; screenshots or diagrams where useful; pull requests; CI evidence; troubleshooting records; architecture decisions; and demonstrations while excluding credentials and sensitive information.	Portfolio evidence demonstrates engineering depth and traceability; artifacts are organized and understandable; claims can be supported by implementation evidence; sensitive data is excluded; demonstrations can be reproduced where practical.
PORT-003	Complete security, quality, and repository-wide final validation.	Run applicable repository; Infrastructure as Code; shell; documentation; secret; security; Kubernetes; container; and workload validation; review outstanding findings; remediate material issues; and document accepted exceptions.	Required validation passes; material security findings are remediated or explicitly documented; no known credentials or sensitive artifacts are committed; repository structure and automation meet established standards; final evidence is retained.
PORT-004	Create operational runbooks and interview-ready technical walkthroughs.	Develop concise runbooks and walkthroughs for architecture; deployment; troubleshooting; security; Kubernetes; Terraform; CI/CD; monitoring; disaster recovery; and representative failure scenarios using the implemented lab as evidence.	Runbooks support repeatable operations; walkthroughs explain both design decisions and implementation; troubleshooting scenarios include evidence and recovery; material can be used for technical demonstrations without exposing secrets.
PORT-005	Perform final enterprise cloud lab review and closeout.	Review all milestones; backlog items; architecture; automation; documentation; security; operational evidence; costs; open risks; technical debt; and portfolio readiness; identify remaining gaps and record final project outcomes.	Required project work is reviewed; unresolved gaps and risks are explicitly documented; completed milestones have supporting evidence; repository and project state are consistent; final lab outcome and future improvements are documented.
