key	title	milestone	priority	domain	work_type	phase	effort	risk	environment	labels
SEC-004	Implement AWS Config governance controls	M09 Security & Compliance	P1	Security	Security	Build	L	High	Lab	priority:P1,type:security,domain:security
SEC-005	Implement GuardDuty threat detection	M09 Security & Compliance	P1	Security	Security	Build	M	High	Lab	priority:P1,type:security,domain:security
SEC-006	Implement Security Hub findings workflow	M09 Security & Compliance	P1	Security	Security	Integrate	M	High	Lab	priority:P1,type:security,domain:security
SEC-007	Perform security posture assessment and remediation	M09 Security & Compliance	P0	Security	Security	Validate	L	Critical	Lab	priority:P0,type:security,domain:security
OBS-001	Implement centralized CloudWatch logging	M10 Observability & Operations	P0	Observability	Feature	Build	L	High	Lab	priority:P0,type:feature,domain:observability
OBS-002	Implement metrics dashboards and alarms	M10 Observability & Operations	P1	Observability	Feature	Build	L	Medium	Lab	priority:P1,type:feature,domain:observability
OBS-003	Implement operational runbooks and incident procedures	M10 Observability & Operations	P1	Observability	Documentation	Build	M	High	Lab	priority:P1,type:documentation,domain:observability
OBS-004	Implement automated operational remediation	M10 Observability & Operations	P1	Observability	Automation	Integrate	L	High	Lab	priority:P1,type:automation,domain:observability
DR-001	Design backup and disaster recovery architecture	M11 Backup & Disaster Recovery	P0	Disaster Recovery	Feature	Foundation	L	High	Lab	priority:P0,type:feature,domain:dr
DR-002	Implement AWS Backup policies and vault controls	M11 Backup & Disaster Recovery	P0	Disaster Recovery	Security	Build	L	High	Lab	priority:P0,type:security,domain:dr
DR-003	Execute restore and recovery validation	M11 Backup & Disaster Recovery	P0	Disaster Recovery	Feature	Validate	L	Critical	Lab	priority:P0,type:feature,domain:dr
DR-004	Conduct simulated disaster recovery exercise	M11 Backup & Disaster Recovery	P1	Disaster Recovery	Feature	Validate	XL	Critical	Lab	priority:P1,type:feature,domain:dr
FIN-001	Implement enterprise resource tagging strategy	M12 FinOps & Optimization	P1	FinOps	Feature	Foundation	M	Medium	Lab	priority:P1,type:feature,domain:finops
FIN-002	Implement AWS budgets and cost alerts	M12 FinOps & Optimization	P0	FinOps	Feature	Build	S	High	Lab	priority:P0,type:feature,domain:finops
FIN-003	Implement cost visibility and optimization reporting	M12 FinOps & Optimization	P1	FinOps	Feature	Build	M	Medium	Lab	priority:P1,type:feature,domain:finops
FIN-004	Perform infrastructure rightsizing and cost optimization	M12 FinOps & Optimization	P1	FinOps	Feature	Validate	M	Medium	Lab	priority:P1,type:feature,domain:finops
INT-001	Deploy integrated enterprise reference application	M13 Enterprise Integration	P0	Integration	Feature	Integrate	XL	High	Production-like	priority:P0,type:feature
INT-002	Validate end-to-end security controls	M13 Enterprise Integration	P0	Integration	Security	Validate	L	Critical	Production-like	priority:P0,type:security,domain:security
INT-003	Execute infrastructure failure and resilience scenarios	M13 Enterprise Integration	P0	Integration	Feature	Validate	XL	Critical	Production-like	priority:P0,type:feature,domain:dr
INT-004	Validate complete CI/CD and GitOps lifecycle	M13 Enterprise Integration	P0	Integration	Automation	Validate	L	High	Production-like	priority:P0,type:automation,domain:devsecops
PORT-001	Create final enterprise architecture documentation	M14 Portfolio & Final Validation	P1	Portfolio	Documentation	Complete	L	Medium	Lab	priority:P1,type:documentation
PORT-002	Create architecture diagrams and service maps	M14 Portfolio & Final Validation	P1	Portfolio	Documentation	Complete	M	Low	Lab	priority:P1,type:documentation
PORT-003	Create technical demonstration and validation runbook	M14 Portfolio & Final Validation	P1	Portfolio	Documentation	Complete	L	Medium	Lab	priority:P1,type:documentation
PORT-004	Create interview-ready engineering narratives	M14 Portfolio & Final Validation	P2	Portfolio	Documentation	Complete	M	Low	Lab	priority:P2,type:documentation
PORT-005	Perform final security cost and architecture review	M14 Portfolio & Final Validation	P0	Portfolio	Security	Complete	L	Critical	Lab	priority:P0,type:security,domain:security
